end_date,Close,High,Low,Open,Volume,ret_1d,ma_5,ma_20,ma_diff,vol_20,momentum
2023-01-05,0.119583696,0.06378035,0.07469018,0.08704754,0.05508956,0.14058398,0.06827792,0.12729228,0.15549858,0.2219835,0.18937288
2023-01-12,0.12232151,0.06486981,0.0739522,0.08901972,0.056154255,0.14615655,0.070664965,0.12654047,0.1572904,0.20155412,0.18411477
2023-01-19,0.121017925,0.064530104,0.076191165,0.08980342,0.056504834,0.14359502,0.07032258,0.12646362,0.16030008,0.18622138,0.1705363
2023-01-27,0.12258239,0.06491487,0.0767812,0.08996436,0.057605457,0.1439945,0.0725666,0.125028,0.1582776,0.1621591,0.15810044
2023-02-03,0.12693085,0.06475556,0.07749513,0.091307096,0.06409911,0.1516383,0.076387666,0.1240739,0.15893741,0.14740373,0.15520741
2023-02-10,0.12794782,0.06384137,0.07760525,0.092232294,0.06569888,0.15275818,0.076398104,0.12358569,0.15814403,0.1293514,0.14864518
2023-02-17,0.12751327,0.06328312,0.07774488,0.09053674,0.06390038,0.1522191,0.076115154,0.12523828,0.15454392,0.1271076,0.14349407
2023-02-24,0.13027558,0.06432445,0.077658005,0.09344558,0.062928244,0.1544188,0.079472356,0.12148737,0.1552647,0.12547201,0.1322703
2023-03-03,0.12846164,0.065660805,0.0793433,0.09445035,0.0654042,0.16038257,0.07981198,0.12149962,0.17647566,0.12815936,0.13781232
2023-03-13,0.1293693,0.06626698,0.0774201,0.092185214,0.06486806,0.16168705,0.081371084,0.12509997,0.17800996,0.13367389,0.14664742
2023-03-20,0.13339642,0.066641934,0.075083874,0.09314544,0.06752951,0.16777271,0.08236371,0.12429374,0.2117593,0.1501289,0.15305029
2023-03-27,0.1321829,0.064912036,0.07464576,0.09201886,0.06753588,0.16155396,0.081059895,0.1261184,0.1857366,0.14207138,0.15300186
2023-04-05,0.1311944,0.06338564,0.07488848,0.09239703,0.06868959,0.16452098,0.079189785,0.12717602,0.1857392,0.15240048,0.16385965
2023-04-13,0.12938584,0.06287747,0.07310179,0.089071795,0.07036005,0.15882364,0.07661177,0.12725893,0.18467374,0.1621469,0.17674841
2023-04-21,0.13369626,0.063686155,0.07114407,0.0908557,0.07043483,0.1666344,0.07788303,0.12487097,0.18735503,0.18400504,0.17464632
2023-04-28,0.13386679,0.06236805,0.069912,0.09040372,0.07157551,0.16441147,0.076370485,0.12808803,0.18669827,0.20210974,0.17510904
2023-05-08,0.12807757,0.06348703,0.06919778,0.08709295,0.064797744,0.15530331,0.07224704,0.13187362,0.18109441,0.2010863,0.17909275
2023-05-15,0.13126211,0.0647344,0.06760033,0.08562503,0.06294414,0.15711157,0.072290525,0.13212232,0.1798935,0.20478037,0.17329842
2023-05-22,0.13231918,0.0654614,0.06710275,0.088081084,0.064143285,0.15502065,0.07117855,0.13192277,0.18258421,0.20377661,0.17521344
2023-05-29,0.12810472,0.06333448,0.06604336,0.08516015,0.0638575,0.15359573,0.07067562,0.1332081,0.18088268,0.20142892,0.17882705
2023-06-05,0.12963009,0.062263742,0.06431598,0.08458999,0.061591033,0.14736249,0.068635985,0.1327062,0.1593913,0.19489495,0.18030116
2023-06-12,0.13117366,0.060218934,0.06432614,0.08566863,0.06525262,0.14500813,0.06701412,0.13100825,0.15812854,0.19046932,0.17471525
2023-06-19,0.12806611,0.057944257,0.06442338,0.08345881,0.060479287,0.13949123,0.065638915,0.13264851,0.11917518,0.17108884,0.1674394
2023-06-26,0.1281988,0.059736047,0.06519439,0.08515887,0.060877223,0.13797008,0.0658099,0.12935165,0.106092356,0.16301677,0.16360694
2023-07-04,0.12703185,0.061378583,0.066130444,0.083815835,0.06103105,0.1351655,0.06624611,0.12846269,0.10511089,0.15059477,0.16588224
2023-07-11,0.12842315,0.06102265,0.06707161,0.08407461,0.05950222,0.13422652,0.06718004,0.12989444,0.10897256,0.15462597,0.15456365
